title,abstract,authors,year,AI_Decision,AI_Reasoning
"Treatment of antimicrobial-resistant gram-positive infections (MRSA, VISA, VRSA) in children.","Staphylococcus aureus is a leading cause of both community and hospital acquired severe and life threatening infections such as bacteremia, infective endocarditis, osteomyelitis, arthritis, cellulitis, and pneumonia. Methicillin resistant S. aureus (MRSA) is defined as oxacillin minimum inhibitory concentration (MIC) >4 mcg/mL, and has increased in prevalence worldwide as both a healthcare-associated and a community-associated pathogen. Vancomycin is the treatment of choice for all invasive MRSA infections especially in life threatening ones in children. A number of community associated MRSA isolates remain susceptible to clindamycin and trimethoprim/ sulphametoxazole (TMP-SMX). In communities the prevalence of MRSA colonization and infection is high (>10 percent) and the prevalence of clindamycin resistance is low (<10 percent) clindamycin may be used for empiric therapy. Vancomycin intermediate S. aureus (VISA) is defined as a vancomycin MIC 4 to 8 mcg/mL and vancomycin resistant S. aureus (VRSA) MIC >16 mcg/mL. VISA strains have variable susceptibility patterns to linezolid, chloramphenicol, gentamycin, rifampin, TMP-SMX and tetracycline. VISA and VRSA isolates have usually been found susceptible to linezolid, quinopristin/dalfopristin and daptomycin. However clinical experience of quinopristin/dalfopristin and daptomycin in children are limited.",['Hacimustafaoglu M'],,EXCLUDE,"The abstract appears to be a general review or overview of MRSA characteristics, treatment considerations, and resistance patterns rather than reporting original research data. It lacks any description of study design, population recruitment methods, or specific results from a defined sample. Inclusion criteria require original research reporting AMR prevalence in community populations, which this abstract does not demonstrate."
Getting hypervirulent Klebsiella pneumoniae on the radar screen.,"Purpose Of Review: Two pathotypes of Klebsiella pneumoniae cause human infections, classical (cKp) and hypervirulent (hvKp) K. pneumoniae. The present understanding of genetic elements, the need for an accurate test to identify hvKp, the clinical implications of infection, the knowledge gap on how and why hvKp colonization transitions to infection, and potential infection prevention and control issues for hvKp are discussed.Recent Findings: Infections because of hvKp are increasingly recognized worldwide. Its ability to cause organ and life-threatening disease in healthy individuals from the community merits concern, which has been magnified by increasing descriptions of multiply drug-resistant (MDR) and extensively drug-resistant (XDR) strains. Increased capsule and siderophore production by hvKp relative to cKp are critical virulence traits. Asians are most commonly infected, but whether this is mediated by a genetic susceptibility, or increased exposure and colonization is unknown. Specific studies about the epidemiology and transmission of hvKp are lacking, but precautions are appropriate for MDR/XDR strains and perhaps all infected/colonized individuals.Summary: hvKp is evolving into an increasingly concerning pathogen, in part because of the development of XDR strains. An accurate test to identify hvKp is needed for optimal clinical care, epidemiological, and research studies. An improved understanding of how infection develops, if a genetic susceptibility exists, and appropriate infection prevention and control measures also are needed.","['Sellick, John A.', 'Russo, Thomas A.']",,EXCLUDE,"The abstract is a review article discussing current knowledge about hypervirulent Klebsiella pneumoniae, including AMR concerns, but does not present original research or report specific AMR prevalence data. Systematic reviews and review articles are excluded per exclusion criteria."
Prevalence of Nasal Staphylococcus aureus Carriage in Patients Undergoing Hemodialysis and Assessment of Risk Factors: A Cross-Sectional Study of Outpatients at a University Hospital.,,"['Bezerra, Daniella Teixeira', 'Mesquita-Ferrari, Raquel Agnelli', 'Fernandes, Kristianne Porta Santos', 'Bussadori, Sandra Kalil', 'Motta, Lara Jansiski', 'Ando-Suguimoto, Ellen Sayuri', 'Frochot, Céline', 'Perini, Alessandra Messina', 'Rossi, Flavia', 'Mimica, Marcelo Jenne', 'Pereira, Benedito Jorge', 'Horliana, Anna Carolina Ratto Tempestini']",,NO_ABSTRACT,
"Epidemiological and clinical characterization of community, healthcare-associated and nosocomial colonization and infection due to carbapenemase-producing Klebsiella pneumoniae and Escherichia coli in Spain.","Background: Community-acquired (CA) and healthcare-associated (HCA) infections caused by carbapenemase-producing Enterobacterales (CPE) are not well characterized. The objective was to provide detailed information about the clinical and molecular epidemiological features of nosocomial, HCA and CA infections caused by carbapenemase-producing Klebsiella pneumoniae (CP-Kp) and Escherichia coli (CP-Ec). Methods: A prospective cohort study was performed in 59 Spanish hospitals from February to March 2019, including the first 10 consecutive patients from whom CP-Kp or CP-Ec were isolated. Patients were stratified according to acquisition type. A multivariate analysis was performed to identify the impact of acquisition type in 30-day mortality. Results: Overall, 386 patients were included (363 [94%] with CP-Kp and 23 [6%] CP-Ec); in 296 patients (76.3%), the CPE was causing an infection. Acquisition was CA in 31 (8.0%) patients, HCA in 183 (47.4%) and nosocomial in 172 (48.3%). Among patients with a HCA acquisition, 100 (54.6%) had been previously admitted to hospital and 71 (38.8%) were nursing home residents. Urinary tract infections accounted for 19/23 (82.6%), 89/130 (68.5%) and 42/143 (29.4%) of CA, HCA and nosocomial infections, respectively. Overall, 68 infections (23%) were bacteremia (8.7%, 17.7% and 30.1% of CA, HCA and nosocomial, respectively). Mortality in infections was 28% (13%, 14.6% and 42.7% of CA, HCA and nosocomial, respectively). Nosocomial bloodstream infections were associated with increased odds for mortality (adjusted OR, 4.00; 95%CI 1.21–13.19). Conclusions: HCA and CA infections caused by CPE are frequent and clinically significant. This information may be useful for a better understanding of the epidemiology of CPE.","['Salamanca-Rivera, Elena', 'Palacios-Baena, Zaira R.', 'Cañada, Javier E.', 'Moure, Zaira', 'Pérez-Vázquez, María', 'Calvo-Montes, Jorge', 'Martínez-Martínez, Luis', 'Cantón, Rafael', 'Ruiz Carrascoso, Guillermo', 'Pitart, Cristina', 'Navarro, Ferran', 'Bou, Germán', 'Mulet, Xavier', 'González-López, Juan José', 'Sivianes, Fran', 'Delgado-Valverde, Mercedes', 'Pascual, Álvaro', 'Oteo-Iglesias, Jesús', 'Rodríguez-Baño, Jesús', 'Martínez Ramírez, Mariela']",,EXCLUDE,"The study focuses on patients with infections caused by CPE (including community-acquired cases), but all participants were recruited through hospitals. The CA group likely represents individuals seeking care for active infections (e.g., 82.6% had UTIs, 8.7% bacteremia), which falls under exclusion criteria for clinical populations. Additionally, 38.8% of HCA cases were nursing home residents (excluded population). While CA infections are community-associated, recruitment via hospitals and focus on diagnosed infections make this population non-representative of general community carriage."
Seroprevalence of Typhoid Fever and Its Associated Risk Factors Among Clinically Diagnosed Febrile Patients Visiting the Outpatient Department at Debark Hospital and Drug Susceptibility Patterns of Isolates.,"Typhoid fever is caused by the bacterium Salmonella Typhi, which poses major health problems in developing countries, including Ethiopia. However, there is limited information regarding typhoid fever, contributing factors with it, and its drug susceptibility pattern in the research area. The aim of this study was to determine the seroprevalence of typhoid fever and its associated risk factors among clinically diagnosed febrile patients at Debark Hospital and evaluate the drug susceptibility patterns of the isolates. A hospital‐based cross‐sectional study was conducted among 158 febrile patients from December 2022 to April 2023. Blood and stool samples were collected from each febrile patient. The Widal test was used to test Salmonella Typhi O and H antigens sera from blood, and bacteria were cultured from the stool. Gram staining and biochemical analyses were carried out for each isolate. Antibiotic susceptibility testing was performed for the isolates using Kirby–Bauer disk diffusion techniques. Descriptive statistics and logistic regression were used for analysis. In this study, the seroprevalence of typhoid fever among febrile patients at Debark Hospital was 22.8%. Gender (adjusted odds ratio (AOR): 95% confidence interval (CI): 0.02, 0.31, p ≤ 0.001), marital status (AOR: 95% CI: 2.63, 4.66, p ≤ 0.001), family size (AOR: 95% CI: 0.01, 0.31, p ≤ 0.001), residence (AOR: 95% CI: 0.09, 0.83, p = 0.021), practice of using toilet (AOR: 95% CI: 0.08, 0.086, p = 0.027), washing fruits and vegetables before eating (AOR: 95% CI: 0.12, 0.87, p = 0.025), and awareness of typhoid fever transmission and prevention (AOR: 95% CI: 0.12, 0.91, p = 0.032) are the associated risk factors for typhoid fever. Fifty percent of the isolates showed multidrug resistance to two or more antibiotics. It was suggested that improving personal hygiene, providing safe drinking water, and careful use of antibiotics could considerably reduce the prevalence of typhoid fever in the study area.","['Muleta, Atsede', 'Meseret, Naod', 'Komatsu, Haruki']",,EXCLUDE,"The study population consists of clinically diagnosed febrile patients recruited from a hospital setting, specifically seeking care for symptoms (fever) potentially related to Salmonella Typhi infection. This falls under the exclusion criteria for ""clinical patients specifically seeking care for infections related to the specific pathogens being studied."" While Salmonella spp. is an included pathogen, the population is not representative of community carriage as defined by the inclusion criteria."
Wound colonization with methicillin-resistant Staphylococcus aureus and hypotheses about acquisition routes in rural health care settings in Sub-Saharan Africa: Perspective from a center devoted to the treatment of cutaneous neglected tropical diseases.,We identified a high prevalence (46.4%) of wound colonization with methicillin-resistant Staphylococcus aureus (MRSA) in patients hospitalized in a center devoted to the treatment of cutaneous tropical diseases in Benin. The proportion of MRSA among S aureus isolates was 54.3%. Thirty percent of these MRSA were identified in outpatients. The analysis of pulsed-field gel electrophoresis demonstrated an important diversity of strains but also identified 8 small clusters containing between 2 and 4 isolates suggesting cross-transmission. • Almost half of patients' wounds were colonized with MRSA. • Total 30% of MRSA were identified in outpatients. • Diversity of MRSA isolates according to pulsed-field gel electrophoresis. • Several small clusters suggest direct or cross-transmission inside the center. • Need for rural African health care settings to refer to a microbiology laboratory.,"['Nicol, Thomas', 'Declerck, Charles', 'Le Gallo, Morgane', 'Bougeard, Camille', 'Habib, Akimat', 'Catraye, Périn', 'Adeye, Ambroise', 'Boccarossa, Alexandra', 'Dubée, Vincent', 'Marsollier, Laurent', 'Marion, Estelle', 'Johnson, Roch Christian', 'Eveillard, Matthieu']",,EXCLUDE,"The study focuses on patients (both hospitalized and outpatients) from a center treating cutaneous tropical diseases, which suggests participants were seeking care for wound-related issues likely linked to infections. This falls under exclusion criteria for clinical patients seeking care for infections related to the studied pathogen (MRSA). While 30% of MRSA cases were in outpatients, the context of a treatment center implies these outpatients were still part of a clinical population with active wounds, not representative of community carriage."
Antibiotic de-escalation in pneumonia with pharmacist education and ordering of methicillinresistant Staphylococcus aureus nasal swabs.,"Introduction When methicillin-resistant Staphylococcus aureus (MRSA) is the causative pathogen in pneumonia, in-hospital mortality rate is approximately 31.2%. However, the occurrence of MRSA pneumonia is uncommon, with a reported incidence of approximately 4.2%. Vancomycin is often empirically used for MRSA pneumonia coverage, but can lead to serious harm. The purpose of this study was to measure the impact of a pharmacy-driven MRSA nares testing protocol on vancomycin and linezolid prescribing patterns and clinical outcomes in patients diagnosed with pneumonia after removal of immediate educational intervention. Methods This single-centre, quasi-experimental study evaluated the use of a MRSA nasal swab on patients diagnosed with community-acquired pneumonia, hospital-acquired pneumonia and ventilator-associated pneumonia. This study consisted of three phases, the preimplementation phase, the active/educational phase and the postimplementation phase. The primary outcome was intravenous anti-MRSA antibiotic duration of therapy. Secondary outcomes included the occurrence of acute kidney injury, duration of hospital stay, number of vancomycin levels obtained, the number of MRSA nares swabs ordered and time points in the MRSA nares collection process. Results The preimplementation phase (n=39), the active phase (n=45) and the postimplementation phase (n=26) demonstrated similar baseline characteristics. The primary outcome for duration of anti-MRSA therapy 0-72 hours was 61.5% vs 77.8% vs 76.9% (p=0.19). Acute kidney injury was decreased throughout the study at 25.6%, 24.4% and 16.7% (p=0.32). The number of MRSA nares swabs ordered were 23.1%, 60% and 30.8% in each of the phases, respectively (p=0.49). Discussion Our novel approach to measuring the impact of pharmacist education and ordering of MRSA nasal swabs has demonstrated benefits that were sustained for a short period after the intervention was removed. Additional study is required to determine the long-term impact. Conclusion The implementation of a hospital-wide anti-MRSA protocol in patients with confirmed or suspected pneumonia indicated sustained changes for at least 3 months after direct intervention.","['Doan, Kevin', 'Smoke, Steven']",,EXCLUDE,"The study population includes hospitalized patients (those with hospital-acquired and ventilator-associated pneumonia), which falls under exclusion criteria for hospitalized patients. Additionally, the study focuses on antibiotic prescribing patterns rather than reporting prevalence of antimicrobial resistance (AMR) carriage in the community. Outcomes relate to clinical management (e.g., duration of anti-MRSA therapy) rather than AMR prevalence data."
Influence of Peanut Consumption on the Gut Microbiome: A Randomized Clinical Trial.,"Background: Peanut consumption could impact cardiometabolic health through gut microbiota, a hypothesis that remains to be investigated. A randomized clinical trial in Vietnam evaluated whether peanut consumption alters gut microbiome communities. Methods: One hundred individuals were included and randomly assigned to the peanut intervention and control groups. A total of 51 participants were provided with and asked to consume 50 g of peanuts daily, while 49 controls maintained their usual dietary intake for 16 weeks. Stool samples were collected before and on the last day of the trial. After excluding 22 non-compliant participants and those who received antibiotic treatment, 35 participants from the intervention and 43 from the control were included in the analysis. Gut microbiota composition was measured by shotgun metagenomic sequencing. Associations of changes in gut microbial diversity with peanut intervention were evaluated via linear regression analysis. Linear mixed-effects models were used to analyze associations of composition, sub-community structure, and microbial metabolic pathways with peanut intervention. We also performed beta regression analysis to examine the impact of peanut intervention on the overall and individual stability of microbial taxa and metabolic pathways. All associations with false discovery rate (FDR)-corrected p-values of <0.1 were considered statistically significant. Results: No significant changes were found in α- and β-diversities and overall gut microbial stability after peanut intervention. However, the peanut intervention led to lower enrichment of five phyla, five classes, two orders, twenty-four metabolic pathways, and six species-level sub-communities, with a dominant representation of Bifidobacterium pseudocatenulatum, Escherichia coli D, Holdemanella biformis, Ruminococcus D bicirculans, Roseburia inulinivorans, and MGYG-HGUT-00200 (p < 0.05 and FDR < 0.1). The peanut intervention led to the short-term stability of several species, such as Faecalibacterium prausnitzii F and H, and a metabolic pathway involved in nitrate reduction V (p < 0.05; FDR < 0.1), known for their potential roles in human health, especially cardiovascular health. Conclusions: In summary, a 16-week peanut intervention led to significant changes in gut microbial composition, species-level sub-communities, and the short-term stability of several bacteria, but not overall gut microbial diversity and stability. Further research with a larger sample size and a longer intervention period is needed to confirm these findings and investigate the direct impact of gut-microbiome-mediated health effects of peanut consumption. Trial registration: The International Traditional Medicine Clinical Trial Registry (ITMCTR). Registration number: ITMCTR2024000050. Retrospectively Registered 24 April 2024.","['Nguyen, Sang Minh', 'Tran, Thi Du Chi', 'Tran, Thi Mo', 'Wang, Cong', 'Wu, Jie', 'Cai, Qiuyin', 'Ye, Fei', 'Shu, Xiao-Ou']",,EXCLUDE,"The study investigates the impact of peanut consumption on gut microbiota composition and metabolic pathways but does not report any data on antimicrobial resistance (AMR) in the specified pathogens. While Escherichia coli is listed as a pathogen of interest, the abstract focuses on microbial diversity, stability, and metabolic changes (e.g., nitrate reduction pathways) without mentioning AMR testing, resistance genes, or phenotypic resistance profiles. This fails to meet the required outcome criterion of reporting AMR prevalence."
Multidrug-resistant isolates from Ukrainian patients in a German health facility: a genomic surveillance study focusing on antimicrobial resistance and bacterial relatedness.,"Purpose: Antimicrobial resistance is a pressing issue in Ukraine, with healthcare-associated infections caused by multidrug-resistant organisms being a major concern. A recent prospective multicenter study revealed a staggering rate of 48.4% antimicrobial resistance to carbapenems among Enterobacterales causing a healthcare-associated infection. We conducted a systematic survey to investigate the incidence rate and incidence density of carbapenemase-producing Gram-negative bacteria (CPGN) among refugees and war-wounded Ukrainians in connection with the German health system. Methods: From the onset of the war until November 2022, seven Ukrainian patients were admitted to our hospital. Upon admission, screening samples and samples from the focus of suspected infection were taken from all seven patients. The incidence rate and the incidence density of CPGN were calculated as a result of the microbiological findings. We sequenced all CPGN using Illumina technology. Results: The incidence rate of CPGN at our hospital was 0.06 for 2021 and 0.18 for 2022. All seven Ukrainian patients were infected or colonized with at least one CPGN, including K. pneumoniae (14/25), P. aeruginosa (6/25), A. baumannii (1/25), Providencia stutartii (1/25), C. freundii (1/25), and E. coli (2/25). Genomic surveillance revealed that (i) most frequently detected carbapenemases among all sequenced isolates were blaNDM (17/25) and blaOXA-48 (6/25), (ii) most commonly observed plasmid replicons among the K. pneumoniae isolates recovered from Ukrainian patients were Col(pHAD28) (12/14), IncHI1B(pNDM-MAR) (9/14), IncFIB(pNDM-Mar) (12/14), and (iii) clonal relation between the pathogens of the Ukrainian isolates, but not for the isolates from our hospital surveillance system. Conclusion: The rising prevalence of community-acquired colonization and infection with CPGN is having a direct effect on the infection prevention measures, such as higher number of isolations, reprocessing of patient rooms, additional microbiological testing and overall organization within hospitals.","['Stein, Claudia', 'Zechel, Maria', 'Spott, Riccardo', 'Pletz, Mathias W.', 'Kipp, Frank']",,EXCLUDE,"The study population consists of hospitalized Ukrainian patients (refugees and war-wounded) admitted to a German hospital, which falls under the exclusion criteria for hospitalized patients. Additionally, samples were taken upon hospital admission for suspected infections, making this a clinical patient population seeking care rather than a community-based sampling. While the pathogens (K. pneumoniae, P. aeruginosa, etc.) and AMR reporting meet outcome criteria, the hospitalized population and clinical context disqualify it."
Effectiveness of methicillin-resistant Staphylococcus aureus surveillance among exposed roommates in community hospitals: Conventional culture versus direct PCR.,"Roommates of unrecognized nosocomial methicillin-resistant Staphylococcus aureus (MRSA) cases are at a higher acquisition risk; however, optimal surveillance strategies are unknown. Using simulation, we analyzed surveillance testing and isolation strategies for MRSA among exposed hospital roommates. We compared isolating exposed roommates until conventional culture testing on day 6 and a nasal polymerase chain reaction test on day 3 (PCR3) with/without day 0 culture testing (Cult0). The model represents MRSA transmission in medium-sized hospitals using data and recommends best practices from the literature and Ontario community hospitals. Cult0 + PCR3 incurred a slightly lower number of MRSA colonizations and 38.9% lower annual cost in the base case compared to Cult0 + culture testing on day 6 because the reduced isolation cost compensated for the increased testing cost. The reduction in MRSA colonizations was due to a 54.5% drop in MRSA transmissions during isolation as PCR3 reduced the exposure of MRSA-free roommates to new MRSA carriers. Removing the day 0 culture test from Cult0 + PCR3 increased total cost, the number of MRSA colonization, and missed cases by $1,631, 4.3%, and 50.9%, respectively. Improvements were higher under aggressive MRSA transmission scenarios. Adopting direct nasal polymerase chain reaction testing for determining post-exposure MRSA status reduces transmission risk and costs. Day 0 culture would still be beneficial. • Exposed roommates of nosocomial methicillin-resistant Staphylococcus aureus (MRSA) cases are at high acquisition risk. • We analyzed MRSA surveillance and isolation strategies among exposed roommates. • We developed a computer simulation model to mimic transmission and progression. • Using nasal polymerase chain reaction testing for MRSA surveillance reduces transmission risk and costs. • Day 0 culture test on top of day 3 polymerase chain reaction test is beneficial for MRSA surveillance.","['Lin, Ru', 'Akgun, Esma', 'Erenay, Fatih Safa', 'Alev, Sibel Alumur', 'Ciccotelli, William A.']",,EXCLUDE,"The study focuses on hospitalized patients (roommates of nosocomial MRSA cases) and evaluates surveillance strategies in a hospital setting. This violates the exclusion criterion for ""Hospitalized patients (admitted for >48 hours)"". The population is explicitly hospital-based, not community or extended populations like outpatients/community settings."
